nombre,id,url
Brenda Navarro,8265387,https://www.goodreads.com/author/list/8265387?page=1&per_page=100
Mónica Nepote,756932,https://www.goodreads.com/author/list/756932?page=1&per_page=100
Guadalupe Nettel,1388401,https://www.goodreads.com/author/list/1388401?page=1&per_page=100
Nirvana Paz,28877595,https://www.goodreads.com/author/list/28877595?page=1&per_page=100
Keila Ochoa Harris,1390236,https://www.goodreads.com/author/list/1390236?page=1&per_page=100
Margarita Oropeza,6445023,https://www.goodreads.com/author/list/6445023?page=1&per_page=100
Susana Pagano,406373,https://www.goodreads.com/author/list/406373?page=1&per_page=100
Mariana Palova,15672120,https://www.goodreads.com/author/list/15672120?page=1&per_page=100
Mirtha Luz Pérez,22435475,https://www.goodreads.com/author/list/22435475?page=1&per_page=100
Aline Pettersson,1333112,https://www.goodreads.com/author/list/1333112?page=1&per_page=100
Irma Pineda,4530160,https://www.goodreads.com/author/list/4530160?page=1&per_page=100
Gabriela Puente,5539155,https://www.goodreads.com/author/list/5539155?page=1&per_page=100
María Luisa Puga,126406,https://www.goodreads.com/author/list/126406?page=1&per_page=100
Patricia Quintanar,5357773,https://www.goodreads.com/author/list/5357773?page=1&per_page=100
Daniela Rea,14927237,https://www.goodreads.com/author/list/14927237?page=1&per_page=100
Claudia Reina,7770354,https://www.goodreads.com/author/list/7770354?page=1&per_page=100
Ana Matías Rendón,18122680,https://www.goodreads.com/author/list/18122680?page=1&per_page=100
Minerva Reynosa,1267296,https://www.goodreads.com/author/list/1267296?page=1&per_page=100
Gilda Rincón,4325178,https://www.goodreads.com/author/list/4325178?page=1&per_page=100
Brenda Ríos,8475783,https://www.goodreads.com/author/list/8475783?page=1&per_page=100
Martha Riva Palacio Obón,1259033,https://www.goodreads.com/author/list/1259033?page=1&per_page=100
Marisol Patricia Rivas Castillo,,
Beatriz Rivas,30417,https://www.goodreads.com/author/list/30417?page=1&per_page=100
Cristina Rivera Garza,6868466,https://www.goodreads.com/author/list/6868466?page=1&per_page=100
Gabriela Riveros Elizondo,3932371,https://www.goodreads.com/author/list/3932371?page=1&per_page=100
Xitlálitl Rodríguez Mendoza,6517393,https://www.goodreads.com/author/list/6517393?page=1&per_page=100
Aniela Rodríguez,14150820,https://www.goodreads.com/author/list/14150820?page=1&per_page=100
Rosamaría Roffiel,2052379,https://www.goodreads.com/author/list/2052379?page=1&per_page=100
Cecilia Berenice Rojas García,,
Norma Román Calvo,15206390,https://www.goodreads.com/author/list/15206390?page=1&per_page=100
Gabriela Román,14737743,https://www.goodreads.com/author/list/14737743?page=1&per_page=100
Rosario Sanmiguel,692857,https://www.goodreads.com/author/list/692857?page=1&per_page=100
Yelitza Ruiz,13921749,https://www.goodreads.com/author/list/13921749?page=1&per_page=100
Mikeas Sánchez,2156783,https://www.goodreads.com/author/list/2156783?page=1&per_page=100
Daimary Sánchez Moreno,18744380,https://www.goodreads.com/author/list/18744380?page=1&per_page=100
Celerina Patricia Sánchez Santiago,,
Alma Karla Sandoval,7162719,https://www.goodreads.com/author/list/7162719?page=1&per_page=100
Sara Uribe,,
Sara Sefchovich,30488,https://www.goodreads.com/author/list/30488?page=1&per_page=100
Yolanda Segura,16292014,https://www.goodreads.com/author/list/16292014?page=1&per_page=100
Esther Seligson,1523940,https://www.goodreads.com/author/list/1523940?page=1&per_page=100
Silvia González Delgado,1293588,https://www.goodreads.com/author/list/1293588?page=1&per_page=100
Tessie Solinís Casparius,26570331,https://www.goodreads.com/author/list/26570331?page=1&per_page=100
Marcela Solís-Quiroga,,
Adriana Tafoya,14880084,https://www.goodreads.com/author/list/14880084?page=1&per_page=100
